BTyperDB_ID	Internal_ID	NCBI_BioSample	Collection_Year	Collection_Month	Collection_Day	Continent	Country	Region	City	Country_Code	Region_Code	Source_1	Source_2	Source_3	BTyper3_species(ANI)	BTyper3_subspecies(ANI)	BTyper3_Pseudo_Gene_Flow_Unit(ANI)	BTyper3_Closest_Type_Strain(ANI)	BTyper3_anthrax_toxin(genes)	BTyper3_emetic_toxin_cereulide(genes)	BTyper3_diarrheal_toxin_Nhe(genes)	BTyper3_diarrheal_toxin_Hbl(genes)	BTyper3_diarrheal_toxin_CytK(top_hit)	BTyper3_sphingomyelinase_Sph(gene)	BTyper3_capsule_Cap(genes)	BTyper3_capsule_Has(genes)	BTyper3_capsule_Bps(genes)	BTyper3_Bt(genes)	BTyper3_PubMLST_ST[clonal_complex](perfect_matches)	BTyper3_Adjusted_panC_Group(predicted_species)	BTyper3_final_taxon_names	GTDB_Species	Completeness	Contamination	N_Contigs	Total_Length	GC	N50	Largest_Contig	Ns_per_Kbp	Free_Text	Curator_Notes	Changelog
BTDB_2022-0000001.1	DRR002381	SAMD00015926	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Environmental	Environmental	Unspecified	cereus s.s.(97.06636810302734)	No subspecies	frankland(97.06636810302734)	cereus(98.84674835205078)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	0()	Unknown(unknown ST)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.	Bacillus_A cereus	99.07	1.17	217	5654698	34.89	60150	237295	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000002.1	DRR014736	SAMD00002592	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(99.97847747802734)	anthracis(99.97615814208984)	anthracis(98.52821350097656)	anthracis(99.97891235351562)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	29	5450455	35.1	601173	1449060	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000003.1	DRR014737	SAMD00002587	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(99.97822570800781)	anthracis(99.97657775878906)	anthracis(98.52742004394531)	anthracis(99.97964477539062)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	26	5451166	35.1	596302	1769066	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000004.1	DRR014739	SAMD00002593	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(99.9730453491211)	anthracis(99.97164916992188)	anthracis(98.52191925048828)	anthracis(99.97465515136719)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.28	46	5510875	35.14	1197636	1635800	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000005.1	DRR014740	SAMD00002589	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(99.97865295410156)	anthracis(99.97703552246094)	anthracis(98.48265075683594)	anthracis(99.9801254272461)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	27	5451198	35.1	601190	1687011	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000006.1	DRR014741	SAMD00002591	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(99.97870635986328)	anthracis(99.97699737548828)	anthracis(98.52959442138672)	anthracis(99.98004150390625)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	1[No clonal complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	99.23	0.15	28	5451101	35.1	601183	1769122	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000007.1	DRR014742	SAMD00002588	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unspecified	mosaicus(99.97169494628906)	anthracis(99.97091674804688)	anthracis(98.43533325195312)	anthracis(99.97907257080078)	3/3(cya;lef;pagA)	0/4()	3/3(nheA;nheB;nheC)	0/4()	0/1()	1/1(sph)	5/5(capA;capB;capC;capD;capE)	3/3(hasA;hasB;hasC)	1/9(bpsE)	0()	Unknown(missing alleles)	Group_III(mosaicus)	B. mosaicus subsp. anthracis biovar Anthracis; B. anthracis biovar Anthracis; B. Anthracis	Bacillus_A anthracis	98.01	0.47	189	5287775	35.12	43262	282540	0		None (Curator PM);None (Curator LC)	v1
BTDB_2022-0000008.1	DRR062845	SAMD00053570	2010	Unknown	Unknown	Asia	Japan	Kagoshima	Unknown	JPN	JP-46	Environmental	Environmental	Unspecified	mosaicus(94.68362426757812)	No subspecies	cereus(96.57463836669922)	tropicus(96.75030517578125)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	1159[No clonal complex](7/7)	Group_II(mosaicus/luti)	B. mosaicus	Bacillus_A tropicus	99.23	0.34	222	5555427	35.2	55810	277851	0		None (Curator PM);Kagoshima is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000009.1	DRR062846	SAMD00053571	2011	Unknown	Unknown	Asia	Japan	Gifu	Unknown	JPN	JP-21	Environmental	Environmental	Unspecified	cereus s.s.(96.4578628540039)	No subspecies	berliner(98.491455078125)	thuringiensis(97.88265991210938)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	243[ST-97 complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.	Bacillus_A thuringiensis	99.23	0	42	5762735	34.95	567716	1053350	0		None (Curator PM);Gifu is both a city and a prefecture; changed City to NA (Curator LC)	v1
BTDB_2022-0000010.1	DRR062847	SAMD00053572	2011	Unknown	Unknown	Asia	Japan	Gifu	Unknown	JPN	JP-21	Environmental	Environmental	Unspecified	mosaicus(95.40210723876953)	cereus(97.51705169677734)	cereus(98.86820983886719)	paranthracis(98.4237060546875)	0/3()	0/4()	3/3(nheA;nheB;nheC)	0/4()	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	0()	1157[ST-205 complex](7/7)	Group_III(mosaicus)	B. mosaicus subsp. cereus; B. cereus	Bacillus_A paranthracis	99.07	0.36	302	5978909	35.35	46237	245808	0		None (Curator PM);Gifu is both a city and a prefecture; changed City to NA (Curator LC)	v1
